AverageHash,ColorHash,DateModified,DateTime,DateTimeOriginal,DateTimeDigitized,Format,ColorSpace,Orientation,FileSize,XSize,YSize,Make,Model,Software,HostComputer,ImageDescription,FileName,SourceDir
bf9fffcfffe0ff23fd03fd03ffa7a6e60666020e020d021f021f040e00000c00,09fec0006002380003002,2021-08-13 17:57:08,2021:08:13 17:57:09,,,MPO,,1,4358144,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00671.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
1ff71ff71e7f0e7f067f027e037f01ff01df01cb00f3003c0013000700070007,09cfc0000000180000000,2021-08-13 17:57:14,2021:08:13 17:57:15,,,MPO,,1,4489216,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00672.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
fafcf03ee23fe79b879ec69f02078786078607f706bc02040400040606000600,1dee000030017c0002002,2021-08-13 17:57:20,2021:08:13 17:57:21,,,MPO,,1,4816896,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00673.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
fffcfffd7cff78ff067e1c380df80ffc1ff81c603c603e3c1f380fb81df01fe0,19de8300108c1c3000003,2021-08-13 17:57:26,2021:08:13 17:57:27,,,MPO,,1,4915200,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00674.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
0017001f040f88071007d00f50cfd8ffefff6ecf6e0f602f700cf80cf80efc0f,01ff000000013c0000000,2021-08-13 17:57:26,2021:08:13 17:57:27,,,MPO,,1,3899392,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00675.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
ff07ffc5ff867fbe39f818c400dc00fc012c07e403ff01e6e182e100e104e300,19ef87081000306001000,2021-08-13 17:57:38,2021:08:13 17:57:39,,,MPO,,1,4849664,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00676.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
ff69ffe67fc77fde19fc18c00cce00fe81f6a770036e2120f100f188f1c0f8c0,1def86042000181000000,2021-08-13 17:57:40,2021:08:13 17:57:40,,,MPO,,1,4784128,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00677.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
e61fe7fba7ffc7ffa7fb865b03df03ff13fa1fde1908380138003c0038001800,09e7c0007006380006007,2021-08-13 17:57:44,2021:08:13 17:57:45,,,MPO,,1,5210112,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00678.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
9ffd1ff09ff299c6b08e31863992bff13ff93dfd7d1c981d1bcd180608060800,05ff80000007380000000,2021-08-13 17:57:44,2021:08:13 17:57:45,,,MPO,,1,4128768,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00679.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
fdfffdfffcfff0f33047144070005c001800088788428ea218b0003000007e00,07a7c6003003380006001,2021-08-13 17:57:48,2021:08:13 17:57:49,,,MPO,,1,5996544,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00680.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
